Comuna;% nunca;% profe;aep1;aep2;edad_5_14;edad_15_64;edad_65_mas
Peralillo;41.54;19.36;9.2;10.5;264.0;206.0;369.0
Placilla;37.51;17.25;9.0;10.3;214.0;161.0;188.0
Pumanque;52.42;17.94;8.8;9.8;82.0;90.0;156.0
Santa Cruz;3.65;23.76;9.7;11.3;941.0;543.0;788.0
Talca;2.9;33.32;10.6;12.4;5.147;2.169;2.129
Constitución;3.81;18.86;9.2;10.8;1.034;786.0;787.0
Curepto;46.01;15.6;8.5;9.3;129.0;193.0;346.0
Empedrado;67.67;13.43;8.2;9.3;87.0;108.0;196.0
Maule;3.13;26.46;9.8;12.0;1.782;675.0;520.0
Pelarco;51.9;16.29;8.8;10.1;209.0;181.0;298.0
Pencahue;56.75;18.91;8.9;10.1;186.0;186.0;348.0
Río Claro;57.02;13.27;8.4;9.5;310.0;345.0;496.0
San Clemente;4.93;15.94;8.7;10.1;1.051;980.0;1.087
San Rafael;47.73;17.46;8.9;10.3;262.0;155.0;315.0
Cauquenes;4.42;20.38;9.1;10.5;988.0;669.0;1.036
Chanco;51.98;14.91;8.4;9.4;225.0;259.0;286.0
Pelluhue;46.75;22.38;9.3;10.7;187.0;151.0;221.0
Curicó;2.96;27.73;10.0;11.8;3.668;1.649;1.76
Hualañé;47.15;19.26;8.7;9.9;255.0;211.0;420.0
Licantén;32.65;21.53;9.4;10.6;125.0;93.0;178.0
Molina;3.75;18.74;9.2;10.6;1.136;776.0;960.0
Rauco;42.69;17.09;8.8;10.1;262.0;208.0;340.0
Romeral;42.65;19.65;9.0;10.4;394.0;312.0;393.0
Sagrada Familia;41.18;15.21;8.6;9.8;390.0;424.0;600.0
Teno;4.83;15.34;8.7;9.9;722.0;667.0;848.0
Vichuquén;37.11;20.76;9.2;10.3;89.0;82.0;143.0
Linares;2.84;25.39;9.8;11.4;2.083;1.211;1.224
Colbún;34.46;17.14;8.8;10.2;527.0;408.0;503.0
Longaví;4.94;13.08;8.3;9.5;702.0;838.0;944.0
Parral;0.43;20.66;9.1;10.6;1.084;872.0;1.025
Retiro;4.55;12.85;8.4;9.6;444.0;495.0;606.0
San Javier;4.06;19.29;9.0;10.6;1.172;874.0;978.0
Villa Alegre;33.76;17.36;8.8;10.2;419.0;361.0;373.0
Yerbas Buenas;46.52;13.71;8.4;9.6;448.0;572.0;482.0
Chillán;2.72;32.78;10.6;12.3;4.218;1.946;1.838
Bulnes;37.09;19.47;9.2;10.5;539.0;482.0;526.0
Chillán Viejo;29.28;25.0;9.9;11.6;791.0;424.0;365.0
El Carmen;47.7;15.06;8.6;9.7;313.0;249.0;333.0
Pemuco;46.47;15.1;8.7;9.9;213.0;165.0;257.0
Pinto;36.47;19.75;9.2;10.5;233.0;214.0;239.0
Quillón;40.23;19.14;9.1;10.3;366.0;400.0;495.0
San Ignacio;40.91;15.03;8.6;9.7;402.0;455.0;472.0
Yungay;33.46;19.49;9.3;10.6;438.0;228.0;371.0
Quirihue;38.99;20.21;9.0;10.2;214.0;271.0;319.0
Cobquecura;50.59;20.64;8.9;9.8;92.0;150.0;227.0
Coelemu;43.22;20.47;9.1;10.3;360.0;300.0;416.0
Ninhue;48.59;15.34;8.4;9.3;105.0;195.0;266.0
Portezuelo;39.78;16.14;8.4;9.3;95.0;197.0;191.0
Ránquil;39.03;17.58;8.8;9.9;141.0;130.0;204.0
Trehuaco;39.03;16.59;8.7;9.8;118.0;182.0;209.0
San Carlos;4.46;19.59;9.2;10.5;1.229;987.0;1.342
Coihueco;4.9;17.0;8.7;10.0;727.0;799.0;733.0
Ñiquén;49.54;12.1;8.3;9.2;245.0;357.0;425.0
San Fabián;70.73;21.09;9.1;10.5;134.0;78.0;201.0
San Nicolás;43.91;17.76;8.9;10.1;300.0;371.0;431.0
Concepción;2.03;46.76;11.9;13.5;3.655;1.389;1.206
Coronel;3.2;26.49;9.9;11.7;3.257;1.304;1.156
Chiguayante;0.23;38.17;11.1;12.8;1.636;541.0;563.0
Florida;45.07;22.56;9.2;10.4;253.0;277.0;438.0
Hualqui;3.9;22.53;9.4;10.9;595.0;459.0;467.0
Lota;3.13;21.7;9.4;10.8;847.0;666.0;706.0
Penco;2.81;27.97;10.1;11.7;1.071;524.0;490.0
San Pedro de La paz;2.78;39.51;10.9;13.1;3.741;1.206;893.0
Santa Juana;46.36;21.2;9.0;10.3;346.0;275.0;395.0
Talcahuano;2.62;35.64;10.8;12.5;2.912;1.173;1.056
Tomé;0.29;27.95;10.1;11.6;1.127;617.0;753.0
Hualpén;2.18;35.4;10.8;12.4;1.68;631.0;669.0
Lebu;38.54;19.37;9.0;10.4;593.0;452.0;447.0
Arauco;3.93;23.52;9.4;10.9;804.0;619.0;705.0
Cañete;5.14;19.58;8.8;10.3;766.0;601.0;797.0
Contulmo;54.87;18.32;8.7;9.9;119.0;126.0;165.0
Curanilahue;0.47;20.85;9.2;10.7;616.0;521.0;700.0
Los Álamos;4.72;17.01;8.7;10.2;504.0;401.0;442.0
Tirúa;66.52;16.0;8.2;9.5;251.0;248.0;304.0
Los Ángeles;3.57;27.08;9.9;11.7;5.365;2.582;3.07
Antuco;36.36;19.8;9.3;10.5;86.0;55.0;75.0
Cabrero;4.75;19.94;9.2;10.6;680.0;532.0;775.0
Laja;4.78;22.23;9.3;10.7;544.0;455.0;636.0
Mulchén;4.66;15.69;8.8;10.1;644.0;617.0;687.0
Nacimiento;4.76;22.12;9.3;10.8;576.0;402.0;667.0
Negrete;50.83;16.38;8.7;10.0;223.0;208.0;317.0
Quilaco;43.47;14.8;8.7;9.8;89.0;83.0;120.0
Quilleco;45.36;15.57;8.8;9.9;205.0;148.0;278.0
San Rosendo;31.05;23.13;9.6;10.8;66.0;58.0;83.0
