Comuna;% nunca;% profe;aep1;aep2
Cholchol;54.45;14.7;8.3;9.7
Angol;0.35;23.51;9.6;11.2
Collipulli;4.79;14.06;8.6;9.9
Curacautín;34.15;20.01;9.3;10.6
Ercilla;59.12;12.83;8.2;9.5
Lonquimay;64.02;14.36;8.2;9.6
Los Sauces;57.29;13.94;8.2;9.3
Lumaco;73.71;10.16;7.7;8.6
Purén;42.1;15.98;8.5;9.7
Renaico;42.3;16.41;8.7;10.1
Traiguén;45.57;17.76;8.8;10.2
Victoria;3.64;21.54;9.4;10.9
Valdivia;2.05;35.96;11.0;12.7
Corral;36.54;16.02;9.0;10.1
Lanco;34.01;19.53;9.3;10.7
Los Lagos;43.77;16.54;8.9;10.3
Máfil;35.79;20.52;9.3;10.7
Mariquina;35.48;17.6;9.0;10.6
Paillaco;40.5;18.6;9.0;10.3
Panguipulli;0.49;17.87;8.8;10.2
La Unión;3.29;23.43;9.5;10.9
Futrono;43.04;16.69;8.7;10.1
Lago Ranco;48.83;16.28;8.5;9.8
Río Bueno;3.65;19.96;9.1;10.4
Puerto Montt;2.71;29.83;10.3;12.1
Calbuco;4.02;15.7;8.7;10.0
Cochamó;43.11;17.05;8.8;9.9
Fresia;46.27;14.66;8.5;9.6
Frutillar;34.72;23.83;9.5;11.1
Los Muermos;42.77;14.79;8.5;9.5
Llanquihue;34.39;23.53;9.6;11.0
Maullín;35.65;13.56;8.7;9.7
Puerto Varas;2.7;38.0;10.8;13.0
Castro;2.54;25.26;10.0;11.6
Ancud;2.71;21.09;9.5;10.9
Chonchi;31.78;18.94;9.1;10.4
Curaco de Vélez;34.13;18.05;9.0;10.1
Dalcahue;31.02;15.83;8.9;10.3
Puqueldón;25.44;13.27;8.6;9.6
Queilén;37.08;15.27;8.5;9.5
Quellón;0.44;14.31;8.7;10.2
Quemchi;29.85;13.16;8.6;9.5
Quinchao;28.0;18.03;8.9;9.9
Osorno;2.79;29.09;10.2;11.8
Puerto Octay;37.11;16.81;8.9;10.1
Purranque;34.44;19.18;9.0;10.2
Puyehue;43.12;17.2;8.9;10.2
Río Negro;34.53;18.95;9.1;10.3
San Juan de la Costa;59.16;9.43;7.9;8.6
San Pablo;36.02;18.4;9.0;10.1
Chaitén;46.46;20.65;9.1;10.4
Futaleufú;41.48;27.2;9.8;11.6
Hualaihué;35.86;16.31;8.7;10.0
Palena;40.46;22.23;9.3;10.5
Coyhaique;2.72;31.17;10.2;12.1
Lago Verde;74.45;16.3;8.8;9.6
Aysén;29.09;23.93;9.6;11.2
Cisnes;28.62;22.7;9.5;11.0
Guaitecas;33.17;17.71;9.0;10.4
Cochrane;45.98;27.47;9.5;11.3
O'Higgins;46.37;26.74;9.6;11.5
Tortel;53.47;27.52;9.5;11.5
Chile Chico;30.78;25.81;9.5;11.0
Río Ibáñez;45.91;23.5;9.3;10.5
Punta Arenas;1.64;33.79;10.8;12.5
Laguna Blanca;26.02;28.25;11.2;11.9
Río Verde;58.82;23.53;9.4;9.9
San Gregorio;37.34;24.9;10.0;11.1
Cabo de Hornos;10.86;41.26;10.7;13.6
Antártica;0.0;90.0;15.0;15.0
Porvenir;19.97;25.98;9.9;11.7
Primavera;18.56;18.79;9.4;11.0
Timaukel;38.22;38.85;10.7;12.4
Natales;20.91;27.76;10.1;11.7
Torres del Paine;29.56;37.44;11.1;12.4
