Comuna;Poblacion censada;Nunca asistio;Diferencial;Parvularia;Basica;Media;Superior;Nivel educativo no declarado
Collipulli;24.303;1.163;125.0;1.047;9.026;9.414;3.416;112.0
Curacautín;18.536;633.0;120.0;836.0;6.093;7.095;3.709;50.0
Ercilla;7.730;457.0;30.0;378.0;3.097;2.750;992;26.0
Lonquimay;10.247;656.0;47.0;465.0;4.191;3.365;1.471;52.0
Los Sauces;7.348;421.0;22.0;366.0;3.074;2.422;1.024;19.0
Lumaco;9.253;682.0;26.0;390.0;4.212;2.971;940;32.0
Purén;12.184;513.0;74.0;624.0;4.763;4.239;1.947;24.0
Renaico;10.686;452.0;54.0;544.0;3.923;3.925;1.754;34.0
Traiguén;18.873;860.0;99.0;924.0;6.690;6.807;3.352;141.0
Victoria;34.464;1.255;179.0;1.649;10.817;13.040;7.424;100.0
Valdivia;170.043;3.494;843.0;7.737;35.009;60.676;61.139;1.145
Corral;5.501;201.0;10.0;203.0;2.001;2.189;881;16.0
Lanco;16.876;574.0;63.0;763.0;5.370;6.741;3.296;69.0
Los Lagos;21.431;938.0;103.0;993.0;7.444;8.361;3.544;48.0
Máfil;8.074;289.0;24.0;360.0;2.588;3.144;1.657;12.0
Mariquina;22.973;815.0;87.0;1.239;7.624;8.978;4.044;186.0
Paillaco;19.802;802.0;104.0;849.0;6.813;7.476;3.683;75.0
Panguipulli;35.098;1.71;123.0;1.495;12.775;12.551;6.272;172.0
La Unión;38.907;1.279;206.0;1.668;12.464;14.054;9.115;121.0
Futrono;15.635;673.0;58.0;697.0;5.922;5.647;2.610;28.0
Lago Ranco;10.527;514.0;48.0;421.0;4.228;3.558;1.714;44.0
Río Bueno;33.363;1.219;168.0;1.256;11.816;12.177;6.659;68.0
Puerto Montt;277.040;7.519;1.271;13.937;69.366;100.513;82.641;1.793
Calbuco;36.474;1.465;91.0;1.567;14.521;13.013;5.726;91.0
Cochamó;4.199;181.0;10.0;136.0;1.718;1.430;716;8.0
Fresia;12.320;570.0;29.0;515.0;4.888;4.480;1.806;32.0
Frutillar;22.554;783.0;93.0;1.098;7.352;7.730;5.375;123.0
Los Muermos;17.162;734.0;46.0;618.0;7.501;5.702;2.538;23.0
Llanquihue;18.088;622.0;61.0;818.0;5.565;6.694;4.256;72.0
Maullín;15.063;537.0;25.0;521.0;6.308;5.620;2.043;9.0
Puerto Varas;52.942;1.432;223.0;3.104;12.627;15.008;20.116;432.0
Castro;46.997;1.196;287.0;1.945;13.569;17.820;11.870;310.0
Ancud;40.949;1.108;230.0;1.704;13.533;15.550;8.637;187.0
Chonchi;16.078;511.0;83.0;583.0;6.281;5.511;3.045;64.0
Curaco de Vélez;3.662;125.0;12.0;139.0;1.491;1.231;661;3.0
Dalcahue;14.894;462.0;57.0;634.0;5.861;5.478;2.357;45.0
Puqueldón;4.048;103.0;10.0;141.0;1.893;1.353;537;11.0
Queilén;5.690;211.0;26.0;225.0;2.577;1.777;869;5.0
Quellón;28.460;1.25;90.0;1.349;10.766;10.785;4.072;148.0
Quemchi;8.409;251.0;19.0;288.0;3.852;2.888;1.107;4.0
Quinchao;7.678;215.0;34.0;257.0;3.354;2.415;1.384;19.0
Osorno;166.455;4.641;934.0;7.404;43.185;60.864;48.422;1.005
Puerto Octay;8.865;329.0;28.0;342.0;3.432;3.207;1.490;37.0
Purranque;19.542;673.0;88.0;835.0;7.308;6.839;3.748;51.0
Puyehue;11.712;505.0;51.0;414.0;4.294;4.409;2.015;24.0
Río Negro;13.874;479.0;83.0;523.0;5.010;5.088;2.629;62.0
San Juan de la Costa;7.776;460.0;22.0;183.0;3.726;2.627;733;25.0
San Pablo;10.883;392.0;68.0;414.0;4.119;3.848;2.002;40.0
