Codigo region;Region;Codigo provincia;Provincia;Codigo comuna;Comuna;Sexo;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
5;Valparaíso;53;Los Andes;5303;Rinconada;Mujer;10,0;11,9
5;Valparaíso;53;Los Andes;5304;San Esteban;Total Comuna;9,9;11,6
5;Valparaíso;53;Los Andes;5304;San Esteban;Hombre;9,8;11,5
5;Valparaíso;53;Los Andes;5304;San Esteban;Mujer;10,1;11,7
5;Valparaíso;54;Petorca;5401;La Ligua;Total Comuna;9,6;11,1
5;Valparaíso;54;Petorca;5401;La Ligua;Hombre;9,5;11,0
5;Valparaíso;54;Petorca;5401;La Ligua;Mujer;9,8;11,3
5;Valparaíso;54;Petorca;5402;Cabildo;Total Comuna;9,2;10,6
5;Valparaíso;54;Petorca;5402;Cabildo;Hombre;9,0;10,4
5;Valparaíso;54;Petorca;5402;Cabildo;Mujer;9,4;10,8
5;Valparaíso;54;Petorca;5403;Papudo;Total Comuna;9,9;11,5
5;Valparaíso;54;Petorca;5403;Papudo;Hombre;9,7;11,3
5;Valparaíso;54;Petorca;5403;Papudo;Mujer;10,1;11,7
5;Valparaíso;54;Petorca;5404;Petorca;Total Comuna;9,3;10,5
5;Valparaíso;54;Petorca;5404;Petorca;Hombre;9,1;10,3
5;Valparaíso;54;Petorca;5404;Petorca;Mujer;9,5;10,7
5;Valparaíso;54;Petorca;5405;Zapallar;Total Comuna;10,0;11,8
5;Valparaíso;54;Petorca;5405;Zapallar;Hombre;10,0;11,7
5;Valparaíso;54;Petorca;5405;Zapallar;Mujer;10,1;11,8
5;Valparaíso;55;Quillota;5501;Quillota;Total Comuna;10,3;12,1
5;Valparaíso;55;Quillota;5501;Quillota;Hombre;10,2;12,0
5;Valparaíso;55;Quillota;5501;Quillota;Mujer;10,5;12,1
5;Valparaíso;55;Quillota;5502;Calera;Total Comuna;9,8;11,4
5;Valparaíso;55;Quillota;5502;Calera;Hombre;9,7;11,4
5;Valparaíso;55;Quillota;5502;Calera;Mujer;9,9;11,4
5;Valparaíso;55;Quillota;5503;Hijuelas;Total Comuna;9,2;10,7
5;Valparaíso;55;Quillota;5503;Hijuelas;Hombre;9,0;10,5
5;Valparaíso;55;Quillota;5503;Hijuelas;Mujer;9,4;11,0
5;Valparaíso;55;Quillota;5504;La Cruz;Total Comuna;10,8;12,9
5;Valparaíso;55;Quillota;5504;La Cruz;Hombre;10,6;12,8
5;Valparaíso;55;Quillota;5504;La Cruz;Mujer;10,9;12,9
5;Valparaíso;55;Quillota;5506;Nogales;Total Comuna;9,4;10,8
5;Valparaíso;55;Quillota;5506;Nogales;Hombre;9,5;10,9
5;Valparaíso;55;Quillota;5506;Nogales;Mujer;9,4;10,7
5;Valparaíso;56;San Antonio;5601;San Antonio;Total Comuna;9,9;11,6
5;Valparaíso;56;San Antonio;5601;San Antonio;Hombre;9,7;11,5
5;Valparaíso;56;San Antonio;5601;San Antonio;Mujer;10,0;11,6
5;Valparaíso;56;San Antonio;5602;Algarrobo;Total Comuna;11,2;12,8
5;Valparaíso;56;San Antonio;5602;Algarrobo;Hombre;11,1;12,9
5;Valparaíso;56;San Antonio;5602;Algarrobo;Mujer;11,2;12,7
5;Valparaíso;56;San Antonio;5603;Cartagena;Total Comuna;9,4;10,9
5;Valparaíso;56;San Antonio;5603;Cartagena;Hombre;9,3;10,8
5;Valparaíso;56;San Antonio;5603;Cartagena;Mujer;9,5;10,9
5;Valparaíso;56;San Antonio;5604;El Quisco;Total Comuna;10,6;12,1
5;Valparaíso;56;San Antonio;5604;El Quisco;Hombre;10,6;12,2
5;Valparaíso;56;San Antonio;5604;El Quisco;Mujer;10,7;12,1
5;Valparaíso;56;San Antonio;5605;El Tabo;Total Comuna;10,3;11,6
5;Valparaíso;56;San Antonio;5605;El Tabo;Hombre;10,3;11,7
5;Valparaíso;56;San Antonio;5605;El Tabo;Mujer;10,3;11,6
5;Valparaíso;56;San Antonio;5606;Santo Domingo;Total Comuna;10,7;12,6
5;Valparaíso;56;San Antonio;5606;Santo Domingo;Hombre;10,6;12,5
5;Valparaíso;56;San Antonio;5606;Santo Domingo;Mujer;10,8;12,7
5;Valparaíso;57;San Felipe de Aconcagua;5701;San Felipe;Total Comuna;10,1;11,9
5;Valparaíso;57;San Felipe de Aconcagua;5701;San Felipe;Hombre;10,0;11,9
5;Valparaíso;57;San Felipe de Aconcagua;5701;San Felipe;Mujer;10,3;12,0
5;Valparaíso;57;San Felipe de Aconcagua;5702;Catemu;Total Comuna;9,1;10,4
5;Valparaíso;57;San Felipe de Aconcagua;5702;Catemu;Hombre;8,9;10,2
5;Valparaíso;57;San Felipe de Aconcagua;5702;Catemu;Mujer;9,2;10,6
5;Valparaíso;57;San Felipe de Aconcagua;5703;Llaillay;Total Comuna;9,4;11,0
5;Valparaíso;57;San Felipe de Aconcagua;5703;Llaillay;Hombre;9,1;10,8
5;Valparaíso;57;San Felipe de Aconcagua;5703;Llaillay;Mujer;9,6;11,2
5;Valparaíso;57;San Felipe de Aconcagua;5704;Panquehue;Total Comuna;9,3;10,7
5;Valparaíso;57;San Felipe de Aconcagua;5704;Panquehue;Hombre;9,1;10,6
5;Valparaíso;57;San Felipe de Aconcagua;5704;Panquehue;Mujer;9,5;10,8
5;Valparaíso;57;San Felipe de Aconcagua;5705;Putaendo;Total Comuna;9,7;11,2
5;Valparaíso;57;San Felipe de Aconcagua;5705;Putaendo;Hombre;9,5;11,0
5;Valparaíso;57;San Felipe de Aconcagua;5705;Putaendo;Mujer;9,9;11,4
5;Valparaíso;57;San Felipe de Aconcagua;5706;Santa María;Total Comuna;9,4;10,9
5;Valparaíso;57;San Felipe de Aconcagua;5706;Santa María;Hombre;9,2;10,6
